Country,Year,Breakdown,Value,Column,Flag,Column1,ID
Austria,2015,FROM 3 NON AROPE,90.1,,,,Children in formal childcare or education 
Austria,2016,FROM 3 NON AROPE,92,,,,Children in formal childcare or education 
Austria,2017,FROM 3 NON AROPE,89.7,,,,Children in formal childcare or education 
Austria,2018,FROM 3 NON AROPE,87.7,,,,Children in formal childcare or education 
Austria,2019,FROM 3 NON AROPE,88.4,,,,Children in formal childcare or education 
Austria,2020,FROM 3 NON AROPE,92,,,,Children in formal childcare or education 
Austria,2021,FROM 3 NON AROPE,93,,,,Children in formal childcare or education 
Austria,2022,FROM 3 NON AROPE,93.8,,,,Children in formal childcare or education 
Austria,2023,FROM 3 NON AROPE,93.7,,,,Children in formal childcare or education 
Austria,2024,FROM 3 NON AROPE,92.4,,,,Children in formal childcare or education 
Belgium,2015,FROM 3 NON AROPE,99.4,,,,Children in formal childcare or education 
Belgium,2016,FROM 3 NON AROPE,99.6,,,,Children in formal childcare or education 
Belgium,2017,FROM 3 NON AROPE,99.3,,,,Children in formal childcare or education 
Belgium,2018,FROM 3 NON AROPE,100,,,,Children in formal childcare or education 
Belgium,2019,FROM 3 NON AROPE,99.7,,b,,Children in formal childcare or education 
Belgium,2020,FROM 3 NON AROPE,98.1,,,,Children in formal childcare or education 
Belgium,2021,FROM 3 NON AROPE,98.4,,,,Children in formal childcare or education 
Belgium,2022,FROM 3 NON AROPE,99.6,,,,Children in formal childcare or education 
Belgium,2023,FROM 3 NON AROPE,99,,,,Children in formal childcare or education 
Belgium,2024,FROM 3 NON AROPE,99.1,,,,Children in formal childcare or education 
Bulgaria,2015,FROM 3 NON AROPE,86,,,,Children in formal childcare or education 
Bulgaria,2016,FROM 3 NON AROPE,90.1,,,,Children in formal childcare or education 
Bulgaria,2017,FROM 3 NON AROPE,80.9,,,,Children in formal childcare or education 
Bulgaria,2018,FROM 3 NON AROPE,83.5,,,,Children in formal childcare or education 
Bulgaria,2019,FROM 3 NON AROPE,93.2,,,,Children in formal childcare or education 
Bulgaria,2020,FROM 3 NON AROPE,96.1,,,,Children in formal childcare or education 
