Title,Country,Year,Breakdown,Value,Flag,ID,Source,Notes
Child Poverty,Austria,2010,Total,19,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Belgium,2010,Total,18.3,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Bulgaria,2010,Total,26.7,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Croatia,2010,Total,19.6,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Cyprus,2010,Total,12.6,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Czechia,2010,Total,14.3,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Denmark,2010,Total,10.9,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Estonia,2010,Total,17.3,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,European Union (27),2010,Total,21.1,e,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Finland,2010,Total,11.4,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,France,2010,Total,18.1,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Germany,2010,Total,17.5,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Greece,2010,Total,23,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Hungary,2010,Total,20.3,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Ireland,2010,Total,18.9,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Italy,2010,Total,25.2,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Latvia,2010,Total,26.3,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Lithuania,2010,Total,24.8,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Luxembourg,2010,Total,21.4,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Malta,2010,Total,22.1,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Netherlands,2010,Total,13.7,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Poland,2010,Total,22.5,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Portugal,2010,Total,22.4,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Romania,2010,Total,32.1,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
Child Poverty,Slovakia,2010,Total,18.8,,Share of children at risk of poverty,Eurostat,AROP: At risk of poverty
