Section,ID,Country,Year,Value,Flag,Breakdown
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Belgium,2015,24.1,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Bulgaria,2015,47.5,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Czechia,2015,17.8,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Denmark,2015,16.2,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Germany,2015,19.3,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Estonia,2015,22.2,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Ireland,2015,29.2,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Greece,2015,37.7,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Spain,2015,34,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,France,2015,22.4,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Croatia,2015,25.2,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Italy,2015,34.1,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Cyprus,2015,22.9,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Latvia,2015,30.7,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Lithuania,2015,34.8,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Luxembourg,2015,23.3,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Hungary,2015,40.3,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Malta,2015,27.8,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Netherlands,2015,17.1,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Austria,2015,22.2,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Poland,2015,26.8,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Portugal,2015,31.2,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Romania,2015,53.4,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Slovenia,2015,16.6,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Slovakia,2015,24.7,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Finland,2015,14.5,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Sweden,2015,19.7,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Belgium,2016,23.5,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Bulgaria,2016,47.3,b,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Czechia,2016,16.4,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Denmark,2016,14,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Germany,2016,20.6,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Estonia,2016,19.7,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Ireland,2016,26.8,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Greece,2016,37.2,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,Spain,2016,33.7,,Total
Child poverty,Children (aged less than 18) at risk of poverty or social exclusion,France,2016,23.8,,Total
