Member State,Organisation,Board Member,Status,Group
:at: Austria,Federation of Austrian Industries (IV),Tobias Sonnweber,Member,Employer
:at: Austria,Austrian Association for Public and Social Economy (VOWG),Josef Wirth,Alternate,Employer
:at: Austria,"Federal Ministry of Labour, Social Affairs, Health Care & Consumer Protection (BMSGP)",Harald Fugger (<a href='https://static.eurofound.europa.eu/board-members/FUGGER_AT_M_G.pdf'>DOI & CV</a>),Member,Government
:at: Austria,"Federal Ministry of Labour, Social Affairs, Health Care & Consumer Protection (BMSGP)",Petra Pencs,Alternate,Government
:at: Austria,Austrian Trade Unions Federation (OGB),Dinah Djalinous-Glatz,Member,Trade Union
:at: Austria,Austrian Federal Chamber of Labour,Adi Buxbaum,Alternate,Trade Union
:be: Belgium,Federation of Enterprises in Belgium (FEB-VBO),Kris De Meester,Member,Employer
:be: Belgium,Organisation for the Self-Employed and SMEs (UNIZO),Phillipe Van Walleghem,Alternate,Employer
:be: Belgium,"Federal Public Service Employment, Labour & Social Dialogue",Yves Bolsee (<a href='https://static.eurofound.europa.eu/board-members/BOLSEE_BE_M_G.pdf'>DOI & CV</a>),Member,Government
:be: Belgium,"Federal Public Service Employment, Labour & Social Dialogue",Alain Piette,Alternate,Government
:be: Belgium,Confederation of Christian Trade Unions (ACV-CSC),Stijn Gryp,Member,Trade Union
:be: Belgium,General Federation of Belgian Labour (ABVV-FGTB),Caroline Verdoot,Alternate,Trade Union
:bg: Bulgaria,Bulgarian Industrial Association (BIA),Dimiter Brankov (<a href='https://static.eurofound.europa.eu/board-members/BRANKOV_BG_M_E.pdf'>DOI & CV</a>),Member,Employer
:bg: Bulgaria,Bulgarian Industrial Capital Association (BICA),Teodor Dechev,Alternate,Employer
:bg: Bulgaria,Ministry of Labour and Social Policy,Nenko Salchev (<a href='https://static.eurofound.europa.eu/board-members/SALCHEV_GB_M_G.pdf'>DOI & CV</a>),Member,Government
:bg: Bulgaria,Ministry of Labour & Social Policy,Teodora Todorova,Alternate,Government
:bg: Bulgaria,Confederation of Independent Trade Unions in Bulgaria (CITUB),Todor Kapitanov,Member,Trade Union
:bg: Bulgaria,Confederation of Labour Podkrepa,Vesselin Mitov,Alternate,Trade Union
:cy: Cyprus,Cyprus Employers and Industrialists Federation (OEB),Polyvios Polyviou,Member,Employer
:cy: Cyprus,Cyprus Employers and Industrialists Federation (OEB),Georges Hadjikallis,Alternate,Employer
:cy: Cyprus,"Ministry of Labour, Welfare and Social Insurance",Orestis Messios,Member,Government
:cy: Cyprus,"Ministry of Labour, Welfare and Social Insurance",Panayiotis Savva,Alternate,Government
:cy: Cyprus,Cyprus Workers Confederation (SEK),Panikos Argyrides,Member,Trade Union
:cy: Cyprus,Cyprus Workers Confederation (SEK),Evangelos Evangelou,Alternate,Trade Union
:cz: Czechia,Confederation of Industry of Czech Republic (SPCR),Vladimira Drbalova,Member,Employer
:cz: Czechia,Association of Small & Medium-sized Enterprises and Crafts of Czech Republic (AMSP CR),Pavla Brecková,Alternate,Employer
:cz: Czechia,Ministry of Labour and Social Affairs,Vlastimil Vána,Member,Government
:cz: Czechia,Ministry of Labour and Social Affairs,Ondřej Krýsl,Alternate,Government
:cz: Czechia,Czech-Moravian Confederation of Trade Unions (CMKOS),Jiří Vaňásek,Member,Trade Union
:cz: Czechia,Czech-Moravian Confederation of Trade Unions (CMKOS),Jana Maláčová,Alternate,Trade Union
:de: Germany,Employers & Business Association of Mobility & Transport Service Providers (AGV MOVE),Matthias Rohrmann,Member,Employer
:de: Germany,Employers Association of Insurance Companies (AGV),Sebastian Hopfner,Alternate,Employer
:de: Germany,Federal Ministry of Labour & Social Affairs (BMAS),Thomas Voigtländer,Member,Government
:de: Germany,Federal Ministry of Labour & Social Affairs (BMAS),Nadine Maas,Alternate,Government
:de: Germany,German Trade Union Confederation (DGB),Tanja Bergrath,Member,Trade Union
:de: Germany,German Trade Union Confederation (DGB),Livia Hentschel,Alternate,Trade Union
:dk: Denmark,Confederation of Danish Employers (DA),Christiane Mißlbeck-Winberg,Member,Employer
:dk: Denmark,Confederation of Danish Employers (DA),Maja Kluger Dionigi,Alternate,Employer
:dk: Denmark,Danish Ministry of Employment,Lærke Thorø Borch Sloth (<a href='https://static.eurofound.europa.eu/board-members/THORO_BORCH_SLOTH_DA_A_G.pdf'>DOI & CV</a>),Member,Government
:dk: Denmark,Danish Ministry of Employment,Selma POURCHASSE-WINKLER,Alternate,Government
:dk: Denmark,Danish Trade Union Confederation (FH),Maria Bjerre,Member,Trade Union
:dk: Denmark,Akademikerne,Käthe Munk Ryom,Alternate,Trade Union
:ee: Estonia,Estonian Employers Confederation,Kristi Sõber,Member,Employer
:ee: Estonia,Estonian Employers Federation,Raul Eamets,Alternate,Employer
:ee: Estonia,Ministry of Social Affairs,Marian Juurik,Member,Government
:ee: Estonia,Ministry of Social Affairs,Marion Pajumets,Alternate,Government
:ee: Estonia,Estonian Trade Union Confederation (EAKL),Jaan-Hendrik Toomel,Member,Trade Union
:ee: Estonia,Estonian Employees Union Confederation (TALO),Madis Iganõmm,Alternate,Trade Union
:es: Spain,Association of Self-Employed workers (ATA),Celia Ferrero Romero,Member,Employer
:es: Spain,Spanish Confederation of SMEs,Miguel Canales Gutiérrez,Alternate,Employer
:es: Spain,Ministry of Labour & Social Economy,Marina Griñón Montes (<a href='https://static.eurofound.europa.eu/board-members/GRINON_ES_M_G.pdf'>DOI & CV</a>),Member,Government
:es: Spain,Ministry of Labour & Social Economy,Gloria Ortega González (<a href='https://static.eurofound.europa.eu/board-members/ORTEGA_ES_A_G.pdf'>DOI & CV</a>),Alternate,Government
:es: Spain,General Union of Workers (UGT),Antonio Miguel Luna Pavón,Member,Trade Union
:es: Spain,Federation of Workers' Commissions (CCOO),Fernando Rocha Sanchez (<a href='https://static.eurofound.europa.eu/board-members/ROCHA_ES_A_W.pdf'>DOI & CV</a>),Alternate,Trade Union
:fi: Finland,Confederation of Finnish Industries (EK),Katja Miettinen,Member,Employer
:fi: Finland,Confederation of Finnish Industries (EK),Suvi Lahti-Leeve,Alternate,Employer
:fi: Finland,Ministry of Economic Affairs & Employment,Antti Narhinen,Member,Government
:fi: Finland,Ministry of Economic Affairs & Employment,Maija Lyly-Yrjänäinen,Alternate,Government
:fi: Finland,Central Organisation of Finnish Trade Unions (SAK),Juha Antila,Member,Trade Union
:fi: Finland,Finnish Confederation of Professionals (STTK),Seppo Nevalainen,Alternate,Trade Union
:fr: France,Union of the Social and United Economy (UDES),Sebastien Darrigrand,Member,Employer
:fr: France,Movement of Enterprises of France (MEDEF),Anne Vauchez,Alternate,Employer
:fr: France,"Ministry of Labour, Full Employment & Integration",Nathalie Vaysse,Member,Government
:fr: France,"Ministry of Labour, Full Employment & Integration",Lucile Castex-Chauve,Alternate,Government
:fr: France,French Democratic Confederation of Labour (CFDT),Charles Parmentier,Member,Trade Union
:fr: France,General Confederation of Labour (FGTA-FO),Romain Lasserre,Alternate,Trade Union
:gr: Greece,Hellenic Federation of Enterprises (SEV),Christos Ioannou,Member,Employer
:gr: Greece,Hellenic Federation of Enterprises (SEV),Katerina Daskalaki,Alternate,Employer
:gr: Greece,Ministry of Labour & Social Affairs,Triantafyllia Totou (<a href='https://static.eurofound.europa.eu/board-members/TOTOU_EL_M_G.pdf'>DOI & CV</a>),Member,Government
:gr: Greece,Ministry of Labour & Social Affairs,Georgios Gourzoulidis,Alternate,Government
:gr: Greece,General Confederation of Labour (GSEE),Ioannis Poupkos,Member,Trade Union
:gr: Greece,General Confederation of Labour (GSEE),Panagiotis Kordatos,Alternate,Trade Union
:hr: Croatia,Croation Employers' Association (HUP),Nuša Žunec (<a href='https://static.eurofound.europa.eu/board-members/ZUNEC_HR_M_E.pdf'>DOI & CV</a>),Member,Employer
:hr: Croatia,Croatian Employers' Association (HUP),Dario Ćorić (<a href='https://static.eurofound.europa.eu/board-members/CORIC_HR_A_E.pdf'>DOI & CV</a>),Alternate,Employer
:hr: Croatia,"Ministry of Labour, Pension System, Family & Social Policy",Iva Musić Orešković,Member,Government
:hr: Croatia,"Ministry of Labour, Pension System, Family & Social Policy",Inja Ogrizović Džamonja,Alternate,Government
:hr: Croatia,Independent Trade Unions of Croatia (NHS),Marija Hanzevacki (<a href='https://static.eurofound.europa.eu/board-members/HANZEVACKI_HR_M_W.pdf'>DOI & CV</a>),Member,Trade Union
:hr: Croatia,Union of Autonomous Trade Unions of Croatia (SSSH),Dijana Sobota (<a href='https://static.eurofound.europa.eu/board-members/SOBOTA_HR_A_W.pdf'>DOI & CV</a>),Alternate,Trade Union
:hu: Hungary,BusinessHungary (MGYOSZ),Adrienn Balint,Member,Employer
:hu: Hungary,BusinessHungary (MGYOSZ),Andrea Magyar,Alternate,Employer
:hu: Hungary,Ministry for Economic Development,Krisztina Pelei,Member,Government
:hu: Hungary,Ministry of the Interior,Vera Judit Ács,Alternate,Government
:hu: Hungary,Hungarian Trade Union Confederation (MSZSZ),Szabolcs Beőthy-Fehér (<a href='https://static.eurofound.europa.eu/board-members/BEOTHY-FEHER_HU_M_W.pdf'>DOI & CV</a>),Member,Trade Union
:hu: Hungary,Forum for the Cooperation of Trade Unions (SZEF),Viktória Szűcs (<a href='https://static.eurofound.europa.eu/board-members/SZUCS_HU_A_W.pdf'>DOI & CV</a>),Alternate,Trade Union
:ie: Ireland,Irish Business & Employers Confederation (IBEC),Maeve McElwee,Member,Employer
:ie: Ireland,Irish Business & Employers Confederation (IBEC),Pauline O'Hare,Alternate,Employer
:ie: Ireland,Department of Enterprise Trade & Employment,Marcus Breathnach (<a href='https://static.eurofound.europa.eu/board-members/BREATHNACH_IE_M_G.pdf'>DOI & CV</a>),Member,Government
:ie: Ireland,Department of Employment Affairs & Social Protection,Olivia Clarke,Alternate,Government
:ie: Ireland,Irish Congress of Trade Unions (ICTU),David Joyce,Member,Trade Union
:ie: Ireland,Irish Congress of Trade Unions (ICTU),Ger Gibbons,Alternate,Trade Union
:it: Italy,Confindustria,Stefania Rossi,Member,Employer
:it: Italy,Confindustria,Giovanni Morleo (<a href='https://static.eurofound.europa.eu/board-members/MORLEO_IT_A_E.pdf'>DOI & CV</a>),Alternate,Employer
:it: Italy,Ministry of Labour & Social Policies,Romolo De Camillis,Member,Government
:it: Italy,Ministry of Labour & Social Partners,Rosanna Margiotta,Alternate,Government
:it: Italy,Italian General Federation of Labour (CGIL),Salvatore Marra,Member,Trade Union
