,calc_minorCategory,calc_subMinorCategory,calc_category_githubURL,__KP_ID,Category
36,Supporting businesses to stay afloat,Direct subsidies (full or partial),https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_stay_afloat.html,56,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_stay_afloat.html"">Supporting businesses to stay afloat</a>"
34,Supporting businesses to stay afloat,Access to finance,https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_stay_afloat.html,49,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_stay_afloat.html"">Supporting businesses to stay afloat</a>"
6,Employment protection and retention,Income support for people in employment (e.g. short-time work),https://efstatic.eu/covid-19-db-factsheets/Employment_protection_and_retention.html,42,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Employment_protection_and_retention.html"">Employment protection and retention</a>"
35,Supporting businesses to stay afloat,Deferral of payments,https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_stay_afloat.html,42,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Supporting_businesses_to_stay_afloat.html"">Supporting businesses to stay afloat</a>"
10,Income protection beyond short-time work,Extensions of  income support to workers not covered by any kind of protection scheme,https://efstatic.eu/covid-19-db-factsheets/Income_protection_beyond_short-time_work.html,28,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Income_protection_beyond_short-time_work.html"">Income protection beyond short-time work</a>"
13,Income protection beyond short-time work,Paid sick leave,https://efstatic.eu/covid-19-db-factsheets/Income_protection_beyond_short-time_work.html,20,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Income_protection_beyond_short-time_work.html"">Income protection beyond short-time work</a>"
11,Income protection beyond short-time work,Income support for unemployed,https://efstatic.eu/covid-19-db-factsheets/Income_protection_beyond_short-time_work.html,16,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Income_protection_beyond_short-time_work.html"">Income protection beyond short-time work</a>"
3,Change of work arrangements to ensure business continuity,Support for parents and carers (financial or in kind),https://efstatic.eu/covid-19-db-factsheets/Change_of_work_arrangements_to_ensure_business_continuity.html,15,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Change_of_work_arrangements_to_ensure_business_continuity.html"">Change of work arrangements to ensure business continuity</a>"
28,Support for essential services,Mobilisation of a larger workforce,https://efstatic.eu/covid-19-db-factsheets/Support_for_essential_services.html,14,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Support_for_essential_services.html"">Support for essential services</a>"
4,Employment protection and retention,Changes to dismissal law or employment protection legislation,https://efstatic.eu/covid-19-db-factsheets/Employment_protection_and_retention.html,13,"<a href=""https://efstatic.eu/covid-19-db-factsheets/Employment_protection_and_retention.html"">Employment protection and retention</a>"
