title,calc_country,d_startDate,calc_subMinorCategory,calc_lastUpdate,calc_githubURL
Hardship case fund: Safety net for self-employed,Austria,03/27/2020,Extensions of income support to workers not covered by any kind of protection scheme,03/02/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-13_212.html
State support for tourism - Access to finance,Austria,03/06/2020,Access to finance,03/02/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-10_213.html
Self-employed income support scheme ,United Kingdom,03/26/2020,Extensions of income support to workers not covered by any kind of protection scheme,02/22/2021,https://static.eurofound.europa.eu/covid19db/cases/GB-2020-13_214.html
Bank guarantees for SMEs and one-person enterprises,Austria,03/04/2020,Access to finance,03/02/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-10_215.html
Coronavirus job retention scheme,United Kingdom,03/01/2020,"Income support for people in employment (e.g., short-time work)",01/18/2021,https://static.eurofound.europa.eu/covid19db/cases/GB-2020-10_216.html
Emergency measures relating to short-time working,France,03/27/2020,"Income support for people in employment (e.g., short-time work)",05/18/2021,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-13_217.html
Airbus agreement for making up unworked hours during its production suspension period,France,03/31/2020,Changes of working hours or work arrangements,05/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-14_218.html
Temporary suspension of individual and collective dismissals,Italy,03/17/2020,Flexibilisation and security,05/10/2021,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-12_219.html
Simplifying the adoption of the smart working regime,Italy,03/04/2020,"Teleworking arrangements, remote working",07/29/2020,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-10_221.html
Danone guarantees jobs and salaries to all its employees for 3 months,France,03/26/2020,"Income support for people in employment (e.g., short-time work)",05/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-13_222.html
Extension of protection for unemployment benefits,Spain,03/17/2020,Income support for unemployed,01/26/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-12_223.html
OpenHotel platform for essential workers,Austria,03/27/2020,Creation of platforms for businesses aimed at customer,05/02/2020,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-13_224.html
COVID-19 short-time work scheme,Austria,03/01/2020,"Income support for people in employment (e.g., short-time work)",11/23/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-10_229.html
COVID I interest-free state loan,Czechia,03/16/2020,Access to finance,05/28/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-12_253.html
