,calc_minorCategory,calc_subMinorCategory,calc_category_githubURL,__KP_ID,Category
46,Supporting businesses to stay afloat,Direct subsidies (full or partial),https://static.eurofound.europa.eu/covid19db/categories/Supporting_businesses_to_stay_afloat.html,273,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Supporting_businesses_to_stay_afloat.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverview"">Supporting businesses to stay afloat</a>"
22,"Promoting the economic, labour market and social recovery","Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",https://static.eurofound.europa.eu/covid19db/categories/Promoting_the_economic_labour_market_and_social_recovery.html,181,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Promoting_the_economic_labour_market_and_social_recovery.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverview"">Promoting the economic, labour market and social recovery</a>"
44,Supporting businesses to stay afloat,Access to finance,https://static.eurofound.europa.eu/covid19db/categories/Supporting_businesses_to_stay_afloat.html,152,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Supporting_businesses_to_stay_afloat.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverview"">Supporting businesses to stay afloat</a>"
0,Employment protection and retention,"Income support for people in employment (e.g., short-time work)",https://static.eurofound.europa.eu/covid19db/categories/Employment_protection_and_retention.html,152,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Employment_protection_and_retention.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverview"">Employment protection and retention</a>"
34,Reorientation of business activities,Change of production/innovation,https://static.eurofound.europa.eu/covid19db/categories/Re-orientation_of_business_activities.html,116,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Re-orientation_of_business_activities.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverview"">Reorientation of business activities</a>"
30,"Protection of workers, adaptation of workplace",Occupational health and safety,https://static.eurofound.europa.eu/covid19db/categories/Protection_of_workers_adaption_of_workplace.html,93,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Protection_of_workers_adaption_of_workplace.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverview"">Protection of workers, adaptation of workplace</a>"
45,Supporting businesses to stay afloat,Deferral of payments or liabilities,https://static.eurofound.europa.eu/covid19db/categories/Supporting_businesses_to_stay_afloat.html,78,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Supporting_businesses_to_stay_afloat.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverview"">Supporting businesses to stay afloat</a>"
41,Responses to inflation,Support for energy bills,https://static.eurofound.europa.eu/covid19db/categories/Responses_to_inflation.html,76,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Responses_to_inflation.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverview"">Responses to inflation</a>"
26,"Promoting the economic, labour market and social recovery","Support for spending, stimulus packages",https://static.eurofound.europa.eu/covid19db/categories/Promoting_the_economic_labour_market_and_social_recovery.html,73,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Promoting_the_economic_labour_market_and_social_recovery.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverview"">Promoting the economic, labour market and social recovery</a>"
20,Measures to prevent social hardship,Protection of vulnerable groups (beyond employment support),https://static.eurofound.europa.eu/covid19db/categories/Measures_to_prevent_social_hardship.html,68,"<a href=""https://static.eurofound.europa.eu/covid19db/categories/Measures_to_prevent_social_hardship.html?utm_medium=datawrapper&utm_campaign=covid-19&utm_source=categoryOverview"">Measures to prevent social hardship</a>"
