calc_subMinorCategory,calc_minorCategory,__KP_ID
"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)","Promoting the economic, labour market and social recovery into a green future",54
"Income support for people in employment (e.g., short-time work)",Employment protection and retention,46
Change of production/Innovation,Reorientation of business activities,44
Matching/networking,Reorientation of business activities,27
Access to finance,Supporting businesses to stay afloat,26
Smoothing frictions or reallocation of workers,Ensuring business continuity and support for essential services,24
Transfer or redeployment of workers ,Reorientation of business activities,13
Working time flexibility,Employment protection and retention,10
Measures related to foreign trade,Supporting businesses to stay afloat,9
Income support for unemployed,Income protection beyond short-time work,7
Other,Supporting businesses to stay afloat,6
Direct subsidies (full or partial) or damage compensation,Supporting businesses to stay afloat,6
"Support for spending, stimulus packages","Promoting the economic, labour market and social recovery into a green future",5
Rescue procedures in case of insolvency or adaptation of insolvency regulation,Supporting businesses to stay afloat,4
Flexibilisation and security,"Promoting the economic, labour market and social recovery into a green future",3
"Change of work arrangements (working time, rota schemes)",Ensuring business continuity and support for essential services,2
Strategic plans and programmes,"Promoting the economic, labour market and social recovery into a green future",2
Support for energy bills,"Promoting the economic, labour market and social recovery into a green future",2
Other,Ensuring business continuity and support for essential services,2
Changes of management approach,"Protection of workers, adaptation of workplace",2
Changes of working hours or work arrangements,"Protection of workers, adaptation of workplace",2
Wage flexibility ,Employment protection and retention,2
Extensions of income support to workers not covered by any kind of protection scheme,Income protection beyond short-time work,2
Deferral of payments or liabilities,Supporting businesses to stay afloat,2
Creation of platforms for businesses aimed at customer,Reorientation of business activities,2
Changes in work organisation,"Protection of workers, adaptation of workplace",2
"Teleworking arrangements, remote working","Protection of workers, adaptation of workplace",1
"Support for other basic items (e.g., food, housing, public transport, medicines)","Promoting the economic, labour market and social recovery into a green future",1
,Employment protection and retention,1
Protection of vulnerable groups (beyond employment support),Measures to prevent social hardship,1
Other humanitarian measures,Measures to prevent social hardship,1
Other,Reorientation of business activities,1
Other,"Promoting the economic, labour market and social recovery into a green future",1
Other,Employment protection and retention,1
Mobilisation of a larger workforce,Ensuring business continuity and support for essential services,1
Increasing income in general,"Promoting the economic, labour market and social recovery into a green future",1
Financing the green transition,"Promoting the economic, labour market and social recovery into a green future",1
Measures to support a gradual relaunch of work,"Promoting the economic, labour market and social recovery into a green future",1
