Country,Metric,Year,Score
European Union,Trust in country's government,2021,3.9
European Union,Trust in country's government,2022,3.6
European Union,Trust in country's government,2023,3.8
European Union,Trust in country's government,2024,3.8
European Union,Trust in people,2021,5.0
European Union,Trust in people,2022,4.9
European Union,Trust in people,2023,5.1
European Union,Trust in people,2024,4.9
European Union,Trust in pharmaceutical firms,2021,4.6
European Union,Trust in pharmaceutical firms,2022,4.3
European Union,Trust in science,2021,7.2
European Union,Trust in science,2022,7.2
European Union,Trust in social media,2021,3.4
European Union,Trust in social media,2022,3.3
European Union,Trust in social media,2023,3.3
European Union,Trust in social media,2024,3.1
European Union,Trust in the European Union,2021,4.6
European Union,Trust in the European Union,2022,4.5
European Union,Trust in the European Union,2023,5.0
European Union,Trust in the European Union,2024,4.7
European Union,Trust in the healthcare system,2021,5.9
European Union,Trust in the healthcare system,2022,5.8
European Union,Trust in the healthcare system,2023,5.9
European Union,Trust in the healthcare system,2024,5.8
European Union,Trust in the news media,2021,4.2
European Union,Trust in the news media,2022,4.0
European Union,Trust in the news media,2023,4.1
European Union,Trust in the news media,2024,4.0
European Union,Trust in the police,2021,5.7
European Union,Trust in the police,2022,5.7
European Union,Trust in the police,2023,6.0
European Union,Trust in the police,2024,6.0
Austria,Trust in country's government,2021,3.6
Austria,Trust in country's government,2022,3.3
Austria,Trust in country's government,2023,3.7
Austria,Trust in country's government,2024,3.9
Austria,Trust in people,2021,5.1
Austria,Trust in people,2022,5.1
Austria,Trust in people,2023,5.3
Austria,Trust in people,2024,5.2
Austria,Trust in pharmaceutical firms,2021,4.1
Austria,Trust in pharmaceutical firms,2022,4.2
Austria,Trust in science,2021,6.6
Austria,Trust in science,2022,7.1
Austria,Trust in social media,2021,3.2
Austria,Trust in social media,2022,3.1
Austria,Trust in social media,2023,3.2
Austria,Trust in social media,2024,3.1
Austria,Trust in the European Union,2021,3.8
Austria,Trust in the European Union,2022,4.0
Austria,Trust in the European Union,2023,4.7
Austria,Trust in the European Union,2024,4.6
Austria,Trust in the healthcare system,2021,5.6
