Country,Ranking criterion,Quintile1,Metric,Variable,Value,Level 1 ,Category,Year,Calc Type,Quintile,lower,lower1
AT,educ,1,Employment change,"All employment,11_22",15504.82,All,All,2011–2022,Education,Low,all,education
AT,educ,1,Employment change,"All employment,11_19",22913.97,All,All,2011–2019,Education,Low,all,education
AT,educ,1,Employment change,"All employment,19_22",-7409.157,All,All,2019–2022,Education,Low,all,education
AT,educ,1,Employment change,"Non-core,11_22",17017.78,Core/non-core,Noncore,2011–2022,Education,Low,noncore,education
AT,educ,1,Employment change,"Non-core,11_19",8190.413,Core/non-core,Noncore,2011–2019,Education,Low,noncore,education
AT,educ,1,Employment change,"Non-core,19_22",8827.365,Core/non-core,Noncore,2019–2022,Education,Low,noncore,education
AT,educ,1,Employment change,"Core,11_22",-2496.73,Core/non-core,Core,2011–2022,Education,Low,core,education
AT,educ,1,Employment change,"Core,11_19",13418.5,Core/non-core,Core,2011–2019,Education,Low,core,education
AT,educ,1,Employment change,"Core,19_22",-15915.23,Core/non-core,Core,2019–2022,Education,Low,core,education
AT,educ,1,Employment change,"Full-time,11_22",1113.485,Working hours,Full time,2011–2022,Education,Low,full time,education
AT,educ,1,Employment change,"Full-time,11_19",13440.08,Working hours,Full time,2011–2019,Education,Low,full time,education
AT,educ,1,Employment change,"Full-time,19_22",-12326.6,Working hours,Full time,2019–2022,Education,Low,full time,education
AT,educ,1,Employment change,"Part-time,11_22",16890.18,Working hours,Part time,2011–2022,Education,Low,part time,education
AT,educ,1,Employment change,"Part-time,11_19",12523.4,Working hours,Part time,2011–2019,Education,Low,part time,education
AT,educ,1,Employment change,"Part-time,19_22",4366.784,Working hours,Part time,2019–2022,Education,Low,part time,education
AT,educ,1,Employment change,"Employee,11_22",4258.813,Employment status,Employee,2011–2022,Education,Low,employee,education
AT,educ,1,Employment change,"Employee,11_19",21621.83,Employment status,Employee,2011–2019,Education,Low,employee,education
AT,educ,1,Employment change,"Employee,19_22",-17363.01,Employment status,Employee,2019–2022,Education,Low,employee,education
AT,educ,1,Employment change,"Self-employe,11_22",7104.672,Employment status,Self employed,2011–2022,Education,Low,self employed,education
AT,educ,1,Employment change,"Self-employe,11_19",3159.237,Employment status,Self employed,2011–2019,Education,Low,self employed,education
AT,educ,1,Employment change,"Self-employe,19_22",3945.435,Employment status,Self employed,2019–2022,Education,Low,self employed,education
AT,educ,1,Employment change,"Permanent,11_22",9564.969,Contractual status,Permanent,2011–2022,Education,Low,permanent,education
AT,educ,1,Employment change,"Permanent,11_19",28792.91,Contractual status,Permanent,2011–2019,Education,Low,permanent,education
AT,educ,1,Employment change,"Permanent,19_22",-19227.94,Contractual status,Permanent,2019–2022,Education,Low,permanent,education
AT,educ,1,Employment change,"Temporary,11_22",-5682.03,Contractual status,Temporary,2011–2022,Education,Low,temporary,education
AT,educ,1,Employment change,"Temporary,11_19",-6199.438,Contractual status,Temporary,2011–2019,Education,Low,temporary,education
AT,educ,1,Employment change,"Temporary,19_22",517.4074,Contractual status,Temporary,2019–2022,Education,Low,temporary,education
AT,educ,1,Employment change,"Male,11_22",15997.99,Gender,Male,2011–2022,Education,Low,male,education
AT,educ,1,Employment change,"Male,11_19",18464.92,Gender,Male,2011–2019,Education,Low,male,education
AT,educ,1,Employment change,"Male,19_22",-2466.93,Gender,Male,2019–2022,Education,Low,male,education
AT,educ,1,Employment change,"Female,11_22",-139.145,Gender,Female,2011–2022,Education,Low,female,education
AT,educ,1,Employment change,"Female,11_19",4888.625,Gender,Female,2011–2019,Education,Low,female,education
AT,educ,1,Employment change,"Female,19_22",-5027.77,Gender,Female,2019–2022,Education,Low,female,education
AT,educ,1,Employment change,"Private services,11_22",-2673.059,Sector,Private services,2011–2022,Education,Low,private services,education
AT,educ,1,Employment change,"Private services,11_19",19777.16,Sector,Private services,2011–2019,Education,Low,private services,education
AT,educ,1,Employment change,"Private services,19_22",-22450.22,Sector,Private services,2019–2022,Education,Low,private services,education
AT,educ,1,Employment change,"Public services,11_22",-4465.73,Sector,Public services,2011–2022,Education,Low,public services,education
AT,educ,1,Employment change,"Public services,11_19",3475.578,Sector,Public services,2011–2019,Education,Low,public services,education
AT,educ,1,Employment change,"Public services,19_22",-7941.308,Sector,Public services,2019–2022,Education,Low,public services,education
AT,educ,1,Employment change,"Manuf/utils,11_22",24817.24,Sector,Manufacturing/utilties,2011–2022,Education,Low,manufacturing/utilties,education
AT,educ,1,Employment change,"Manuf/utils,11_19",4630.957,Sector,Manufacturing/utilties,2011–2019,Education,Low,manufacturing/utilties,education
AT,educ,1,Employment change,"Manuf/utils,19_22",20186.28,Sector,Manufacturing/utilties,2019–2022,Education,Low,manufacturing/utilties,education
AT,educ,1,Employment change,"Construction,11_22",-8858.402,Sector,Construction,2011–2022,Education,Low,construction,education
AT,educ,1,Employment change,"Construction,11_19",-7613.575,Sector,Construction,2011–2019,Education,Low,construction,education
AT,educ,1,Employment change,"Construction,19_22",-1244.828,Sector,Construction,2019–2022,Education,Low,construction,education
AT,educ,1,Employment change,"Agric/extractive,11_22",6684.77,Sector,Agriculture,2011–2022,Education,Low,agriculture,education
AT,educ,1,Employment change,"Agric/extractive,11_19",2643.852,Sector,Agriculture,2011–2019,Education,Low,agriculture,education
AT,educ,1,Employment change,"Agric/extractive,19_22",4040.917,Sector,Agriculture,2019–2022,Education,Low,agriculture,education
AT,educ,1,Employment change,"15-29,11_22",-19322.25,Age,15–29,2011–2022,Education,Low,15–29,education
AT,educ,1,Employment change,"15-29,11_19",-10609.64,Age,15–29,2011–2019,Education,Low,15–29,education
AT,educ,1,Employment change,"15-29,19_22",-8712.612,Age,15–29,2019–2022,Education,Low,15–29,education
AT,educ,1,Employment change,"30-49,11_22",-66070.92,Age,30–49,2011–2022,Education,Low,30–49,education
AT,educ,1,Employment change,"30-49,11_19",-45937.72,Age,30–49,2011–2019,Education,Low,30–49,education
AT,educ,1,Employment change,"30-49,19_22",-20133.2,Age,30–49,2019–2022,Education,Low,30–49,education
AT,educ,1,Employment change,"50-64,11_22",99962.51,Age,50–64,2011–2022,Education,Low,50–64,education
AT,educ,1,Employment change,"50-64,11_19",77636.55,Age,50–64,2011–2019,Education,Low,50–64,education
AT,educ,1,Employment change,"50-64,19_22",22325.96,Age,50–64,2019–2022,Education,Low,50–64,education
AT,educ,2,Employment change,"All employment,11_22",-31011.14,All,All,2011–2022,Education,Mid-low,all,education
AT,educ,2,Employment change,"All employment,11_19",-8283.214,All,All,2011–2019,Education,Mid-low,all,education
AT,educ,2,Employment change,"All employment,19_22",-22727.93,All,All,2019–2022,Education,Mid-low,all,education
AT,educ,2,Employment change,"Non-core,11_22",-10965.37,Core/non-core,Noncore,2011–2022,Education,Mid-low,noncore,education
AT,educ,2,Employment change,"Non-core,11_19",-9198.135,Core/non-core,Noncore,2011–2019,Education,Mid-low,noncore,education
AT,educ,2,Employment change,"Non-core,19_22",-1767.239,Core/non-core,Noncore,2019–2022,Education,Mid-low,noncore,education
AT,educ,2,Employment change,"Core,11_22",-17849.63,Core/non-core,Core,2011–2022,Education,Mid-low,core,education
AT,educ,2,Employment change,"Core,11_19",4106.491,Core/non-core,Core,2011–2019,Education,Mid-low,core,education
AT,educ,2,Employment change,"Core,19_22",-21956.13,Core/non-core,Core,2019–2022,Education,Mid-low,core,education
AT,educ,2,Employment change,"Full-time,11_22",-58150.03,Working hours,Full time,2011–2022,Education,Mid-low,full time,education
AT,educ,2,Employment change,"Full-time,11_19",-36872.81,Working hours,Full time,2011–2019,Education,Mid-low,full time,education
AT,educ,2,Employment change,"Full-time,19_22",-21277.22,Working hours,Full time,2019–2022,Education,Mid-low,full time,education
AT,educ,2,Employment change,"Part-time,11_22",20501.62,Working hours,Part time,2011–2022,Education,Mid-low,part time,education
AT,educ,2,Employment change,"Part-time,11_19",23235.96,Working hours,Part time,2011–2019,Education,Mid-low,part time,education
AT,educ,2,Employment change,"Part-time,19_22",-2734.34,Working hours,Part time,2019–2022,Education,Mid-low,part time,education
AT,educ,2,Employment change,"Employee,11_22",-4290.459,Employment status,Employee,2011–2022,Education,Mid-low,employee,education
AT,educ,2,Employment change,"Employee,11_19",22068.52,Employment status,Employee,2011–2019,Education,Mid-low,employee,education
AT,educ,2,Employment change,"Employee,19_22",-26358.98,Employment status,Employee,2019–2022,Education,Mid-low,employee,education
AT,educ,2,Employment change,"Self-employe,11_22",-21289.16,Employment status,Self employed,2011–2022,Education,Mid-low,self employed,education
AT,educ,2,Employment change,"Self-employe,11_19",-24134.08,Employment status,Self employed,2011–2019,Education,Mid-low,self employed,education
AT,educ,2,Employment change,"Self-employe,19_22",2844.913,Employment status,Self employed,2019–2022,Education,Mid-low,self employed,education
AT,educ,2,Employment change,"Permanent,11_22",11272,Contractual status,Permanent,2011–2022,Education,Mid-low,permanent,education
AT,educ,2,Employment change,"Permanent,11_19",35489.38,Contractual status,Permanent,2011–2019,Education,Mid-low,permanent,education
AT,educ,2,Employment change,"Permanent,19_22",-24217.38,Contractual status,Permanent,2019–2022,Education,Mid-low,permanent,education
AT,educ,2,Employment change,"Temporary,11_22",-22834.45,Contractual status,Temporary,2011–2022,Education,Mid-low,temporary,education
AT,educ,2,Employment change,"Temporary,11_19",-20051.65,Contractual status,Temporary,2011–2019,Education,Mid-low,temporary,education
AT,educ,2,Employment change,"Temporary,19_22",-2782.798,Contractual status,Temporary,2019–2022,Education,Mid-low,temporary,education
AT,educ,2,Employment change,"Male,11_22",-1311.655,Gender,Male,2011–2022,Education,Mid-low,male,education
AT,educ,2,Employment change,"Male,11_19",5950.288,Gender,Male,2011–2019,Education,Mid-low,male,education
AT,educ,2,Employment change,"Male,19_22",-7261.943,Gender,Male,2019–2022,Education,Mid-low,male,education
AT,educ,2,Employment change,"Female,11_22",-32380.83,Gender,Female,2011–2022,Education,Mid-low,female,education
