Topic,Indicator name,Top category,Country Name,Country Code,Category,Value,Count
Affordability,Housing cost overburden rate (>40% of income),All,Austria,AT,All,0.060540948,12482
Affordability,Housing cost overburden rate (>40% of income),All,Belgium,BE,All,0.077409625,14247
Affordability,Housing cost overburden rate (>40% of income),All,Bulgaria,BG,All,0.111098029,18074
Affordability,Housing cost overburden rate (>40% of income),All,Cyprus,CY,All,0.026115075,10750
Affordability,Housing cost overburden rate (>40% of income),All,Czechia,CZ,All,0.09143611,17844
Affordability,Housing cost overburden rate (>40% of income),All,Germany,DE,All,0.143604696,73371
Affordability,Housing cost overburden rate (>40% of income),All,Denmark,DK,All,0.154052183,11812
Affordability,Housing cost overburden rate (>40% of income),All,Estonia,EE,All,0.076992057,12651
Affordability,Housing cost overburden rate (>40% of income),All,Greece,EL,All,0.285417825,22936
Affordability,Housing cost overburden rate (>40% of income),All,Spain,ES,All,0.085147314,67242
Affordability,Housing cost overburden rate (>40% of income),All,Finland,FI,All,0.054553255,21024
Affordability,Housing cost overburden rate (>40% of income),All,France,FR,All,0.142701536,37778
Affordability,Housing cost overburden rate (>40% of income),All,Croatia,HR,All,0.040545233,20338
Affordability,Housing cost overburden rate (>40% of income),All,Hungary,HU,All,0.086868696,18448
Affordability,Housing cost overburden rate (>40% of income),All,Ireland,IE,All,0.046166427,10199
Affordability,Housing cost overburden rate (>40% of income),All,Italy,IT,All,0.056738235,59310
Affordability,Housing cost overburden rate (>40% of income),All,Lithuania,LT,All,0.052074358,12461
Affordability,Housing cost overburden rate (>40% of income),All,Luxembourg,LU,All,0.346192271,9906
Affordability,Housing cost overburden rate (>40% of income),All,Latvia,LV,All,0.123878852,12252
Affordability,Housing cost overburden rate (>40% of income),All,Malta,MT,All,0.060176283,10993
Affordability,Housing cost overburden rate (>40% of income),All,Netherlands,NL,All,0.095314518,26576
Affordability,Housing cost overburden rate (>40% of income),All,Poland,PL,All,0.115938365,43603
Affordability,Housing cost overburden rate (>40% of income),All,Portugal,PT,All,0.048840109,33639
Affordability,Housing cost overburden rate (>40% of income),All,Romania,RO,All,0.091672525,16716
Affordability,Housing cost overburden rate (>40% of income),All,Sweden,SE,All,0.134300172,21975
Affordability,Housing cost overburden rate (>40% of income),All,Slovenia,SI,All,0.037325662,23273
Affordability,Housing cost overburden rate (>40% of income),All,Slovakia,SK,All,0.059357829,13647
Affordability,Housing cost overburden rate (>40% of income),Age category,Austria,AT,18-24,0.067250438,713
Affordability,Housing cost overburden rate (>40% of income),Age category,Austria,AT,25-39,0.06666752,2161
Affordability,Housing cost overburden rate (>40% of income),Age category,Austria,AT,40-65,0.052480433,4596
Affordability,Housing cost overburden rate (>40% of income),Age category,Austria,AT,65 plus,0.075966649,2840
Affordability,Housing cost overburden rate (>40% of income),Age category,Belgium,BE,18-24,0.051824056,1069
Affordability,Housing cost overburden rate (>40% of income),Age category,Belgium,BE,25-39,0.077563196,2445
Affordability,Housing cost overburden rate (>40% of income),Age category,Belgium,BE,40-65,0.073055111,4633
Affordability,Housing cost overburden rate (>40% of income),Age category,Belgium,BE,65 plus,0.129435852,3268
Affordability,Housing cost overburden rate (>40% of income),Age category,Bulgaria,BG,18-24,0.114054374,957
Affordability,Housing cost overburden rate (>40% of income),Age category,Bulgaria,BG,25-39,0.097175799,2204
Affordability,Housing cost overburden rate (>40% of income),Age category,Bulgaria,BG,40-65,0.096661411,6721
Affordability,Housing cost overburden rate (>40% of income),Age category,Bulgaria,BG,65 plus,0.141104668,5919
Affordability,Housing cost overburden rate (>40% of income),Age category,Cyprus,CY,18-24,0.015957445,780
Affordability,Housing cost overburden rate (>40% of income),Age category,Cyprus,CY,25-39,0.043240089,1803
Affordability,Housing cost overburden rate (>40% of income),Age category,Cyprus,CY,40-65,0.02289803,3606
Affordability,Housing cost overburden rate (>40% of income),Age category,Cyprus,CY,65 plus,0.023777671,2616
Affordability,Housing cost overburden rate (>40% of income),Age category,Czechia,CZ,18-24,0.096753053,914
Affordability,Housing cost overburden rate (>40% of income),Age category,Czechia,CZ,25-39,0.088824689,2359
Affordability,Housing cost overburden rate (>40% of income),Age category,Czechia,CZ,40-65,0.074976742,5972
Affordability,Housing cost overburden rate (>40% of income),Age category,Czechia,CZ,65 plus,0.124333471,5615
Affordability,Housing cost overburden rate (>40% of income),Age category,Denmark,DK,18-24,0.337774158,796
Affordability,Housing cost overburden rate (>40% of income),Age category,Denmark,DK,25-39,0.191626206,1669
Affordability,Housing cost overburden rate (>40% of income),Age category,Denmark,DK,40-65,0.117176667,3690
Affordability,Housing cost overburden rate (>40% of income),Age category,Denmark,DK,65 plus,0.166194096,4003
Affordability,Housing cost overburden rate (>40% of income),Age category,Estonia,EE,18-24,0.13514933,922
Affordability,Housing cost overburden rate (>40% of income),Age category,Estonia,EE,25-39,0.084310867,1887
Affordability,Housing cost overburden rate (>40% of income),Age category,Estonia,EE,40-65,0.063629031,4389
Affordability,Housing cost overburden rate (>40% of income),Age category,Estonia,EE,65 plus,0.091254719,2825
Affordability,Housing cost overburden rate (>40% of income),Age category,Greece,EL,18-24,0.339662969,1339
Affordability,Housing cost overburden rate (>40% of income),Age category,Greece,EL,25-39,0.316294253,2524
Affordability,Housing cost overburden rate (>40% of income),Age category,Greece,EL,40-65,0.265078694,8427
Affordability,Housing cost overburden rate (>40% of income),Age category,Greece,EL,65 plus,0.272319108,7660
Affordability,Housing cost overburden rate (>40% of income),Age category,Spain,ES,18-24,0.066166446,4937
Affordability,Housing cost overburden rate (>40% of income),Age category,Spain,ES,25-39,0.107299015,8997
Affordability,Housing cost overburden rate (>40% of income),Age category,Spain,ES,40-65,0.080517054,27858
Affordability,Housing cost overburden rate (>40% of income),Age category,Spain,ES,65 plus,0.058492091,13332
Affordability,Housing cost overburden rate (>40% of income),Age category,Finland,FI,18-24,0.13992247,1476
Affordability,Housing cost overburden rate (>40% of income),Age category,Finland,FI,25-39,0.064571604,3038
Affordability,Housing cost overburden rate (>40% of income),Age category,Finland,FI,40-65,0.043897592,7861
Affordability,Housing cost overburden rate (>40% of income),Age category,Finland,FI,65 plus,0.056779165,4025
Affordability,Housing cost overburden rate (>40% of income),Age category,France,FR,18-24,0.1716903,2663
Affordability,Housing cost overburden rate (>40% of income),Age category,France,FR,25-39,0.143116042,5134
Affordability,Housing cost overburden rate (>40% of income),Age category,France,FR,40-65,0.148839727,13050
Affordability,Housing cost overburden rate (>40% of income),Age category,France,FR,65 plus,0.128675207,9095
Affordability,Housing cost overburden rate (>40% of income),Age category,Croatia,HR,18-24,0.01966376,1387
Affordability,Housing cost overburden rate (>40% of income),Age category,Croatia,HR,25-39,0.034251112,2518
Affordability,Housing cost overburden rate (>40% of income),Age category,Croatia,HR,40-65,0.037041765,7512
Affordability,Housing cost overburden rate (>40% of income),Age category,Croatia,HR,65 plus,0.073416151,6344
Affordability,Housing cost overburden rate (>40% of income),Age category,Hungary,HU,18-24,0.094944596,1139
